tic,conm,datadate,fyear,at,lt,teq,revt,ni,exchg
GLRE,GREENLIGHT CAPITAL RE LTD,31DEC2019,2019,1355.193,878.01,477.183,491.397,-3.986,14
SAR,SARATOGA INVESTMENT CORP,29FEB2020,2019,530.866,226.579,304.287,58.448,55.739,11
FRBA,FIRST BANK,31DEC2019,2019,2011.587,1785.194,226.393,88.165,13.445,14
CPLP,CAPITAL PRODUCT PARTNERS LP,31DEC2019,2019,703.462,296.725,406.737,108.374,-122.455,14
BX,BLACKSTONE GROUP INC,31DEC2019,2019,32585.506,17482.454,15015.401,7338.27,2049.682,11
CNK,CINEMARK HOLDINGS INC,31DEC2019,2019,5828.017,4379.695,1448.322,3283.099,191.386,11
CAI,CAI INTERNATIONAL INC,31DEC2019,2019,2901.765,2208.525,693.24,416.54,31.011,11
TTGT,TECHTARGET INC,31DEC2019,2019,221.608,68.657,152.951,133.957,16.875,14
CBMG,CELLULAR BIOMEDICINE GROUP,31DEC2019,2019,97.324,41.606,55.718,0.34,-49.984,14
OPNT,OPIANT PHARMACEUTICALS INC,31DEC2019,2019,40.281,5.865,34.416,40.52,11.593,14
PNNT,PENNANTPARK INVESTMENT CORP,30SEP2019,2019,1285.838,703.932,581.906,112.107,15.925,14
PODD,INSULET CORP,31DEC2019,2019,1142.9,1067.0,75.9,738.2,11.6,14
NBY,NOVABAY PHARMACEUTICALS INC,31DEC2019,2019,11.22,10.247,0.973,6.599,-9.658,12
JMP,JMP GROUP LLC,31DEC2019,2019,230.257,168.896,61.361,113.915,-6.549,11
INFN,INFINERA CORP,31DEC2019,2019,1628.338,1241.803,386.535,1298.865,-386.618,14
TEL,TE CONNECTIVITY LTD,30SEP2019,2019,19694.0,9124.0,10570.0,13448.0,1844.0,11
JAZZ,JAZZ PHARMACEUTICALS PLC,31DEC2019,2019,5538.897,2427.916,3110.981,2161.761,523.367,14
LLNW,LIMELIGHT NETWORKS INC,31DEC2019,2019,209.369,42.832,166.537,200.634,-16.044,14
ATV,ACORN INTERNATIONAL INC -ADR,31DEC2019,2019,80.164,13.724,66.44,37.484,9.836,11
CDXC,CHROMADEX CORP,31DEC2019,2019,40.247,19.802,20.445,46.291,-32.147,14
DFS,DISCOVER FINANCIAL SVCS,31DEC2019,2019,113996.0,102137.0,11859.0,13989.0,2957.0,11
AMC,AMC ENTERTAINMENT HOLDINGS,31DEC2019,2019,13675.8,12461.6,1214.2,5471.0,-149.1,11
TIPT,TIPTREE INC,31DEC2019,2019,2198.286,1786.871,411.415,765.13,18.361,14
HHT,COLOR STAR TECHNOLOGY CO LTD,30JUN2019,2019,54.165,53.644,0.521,43.652,-14.389,14
PRO,PROS HOLDINGS INC,31DEC2019,2019,513.307,348.311,164.996,250.334,-69.081,11
SYN,SYNTHETIC BIOLOGICS INC,31DEC2019,2019,17.235,5.748,11.487,0.0,-15.303,12
SCOR,COMSCORE INC,31DEC2019,2019,723.695,464.721,258.974,388.645,-338.996,14
BKCC,BLACKROCK CAPITAL INVT CORP,31DEC2019,2019,774.063,338.454,435.609,78.119,-6.887,14
VRTU,VIRTUSA CORP,31MAR2020,2019,1337.067,832.3,504.767,1312.283,47.902,14
MASI,MASIMO CORP,31DEC2019,2019,1396.128,228.254,1167.874,937.837,196.216,14
CXO,CONCHO RESOURCES INC,31DEC2019,2019,24732.0,6950.0,17782.0,4592.0,-705.0,11
DHX,DHI GROUP INC,31DEC2019,2019,278.321,117.126,161.195,149.37,12.551,11
BKEP,BLUEKNIGHT ENERGY PRTNRS LP,31DEC2019,2019,301.94,323.263,-21.323,371.07,18.412,14
ALSN,ALLISON TRANSMISSION HLDGS,31DEC2019,2019,4450.0,3669.0,781.0,2698.0,604.0,11
ZAGG,ZAGG INC,31DEC2019,2019,469.231,277.752,191.479,521.922,13.92,14
SINT,SINTX TECHNOLOGIES INC,31DEC2019,2019,9.147,3.945,5.202,0.689,-4.797,14
G,GENPACT LTD,31DEC2019,2019,4454.184,2765.013,1689.171,3520.543,304.881,11
LULU,LULULEMON ATHLETICA INC,31JAN2020,2019,3281.354,1329.136,1952.218,3979.296,645.596,14
RILY,B. RILEY FINANCIAL INC,31DEC2019,2019,2318.178,1923.311,390.251,652.112,81.611,14
MELI,MERCADOLIBRE INC,31DEC2019,2019,4781.691,2699.728,2081.963,2296.314,-171.999,14
VMW,VMWARE INC -CL A,31JAN2020,2019,26294.0,19285.0,7009.0,10811.0,6412.0,11
CZZ,COSAN LTD,31DEC2019,2019,16349.228,12308.937,4040.291,5127.686,327.478,11
